CPU,RAM,RAM_Type,GPU,Storage,Screen,Price,Brand
AMD Ryzen 3 3250U,16GB,DDR4,RTX 3050Ti,512GB,1080p,850,ASUS
Intel Core i9-12900H,32GB,DDR5,RTX 4050,1TB,1440p,2180,MSI
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 3050,1TB,1440p,2080,ASUS
Intel Core i5-11400H,8GB,DDR4,Integrated,256GB,1080p,520,HP
Intel Core i9-11900H,32GB,DDR4,RTX 3050,1TB,1080p,1190,Gigabyte
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1650,512GB,1080p,710,Dell
Intel Core i7-12700H,64GB,DDR4,GTX 1650,1TB,1080p,1280,ASUS
AMD Ryzen 5 5500U,16GB,DDR3,GTX 1660,128GB,1080p,630,Dell
Intel Core i9-12900H,16GB,DDR4,RTX 3080,512GB,4K,2150,MSI
Intel Core i9-12900H,32GB,DDR4,RTX 4090,512GB,1440p,2190,ASUS
AMD Ryzen 7 5800H,64GB,DDR4,RTX 3050Ti,512GB,1080p,1410,Dell
AMD Ryzen 7 5800H,16GB,DDR4,RTX 3050Ti,512GB,1080p,870,Dell
Intel Core i7-13620H,16GB,DDR4,RTX 3050,1TB,1080p,1160,ASUS
Intel Core i5-12500H,8GB,DDR4,RTX 3060,256GB,1080p,810,Dell
Intel Core i3-1115G4,16GB,DDR3,GTX 1650,256GB,1080p,520,Dell
AMD Ryzen 7 7730U,32GB,DDR5,RTX 4070,1TB,4K,2680,MSI
Intel Core i9-12900H,32GB,DDR5,RTX 4080,2TB,4K,3920,Alienware
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 2060,1TB,1080p,1370,Dell
Intel Core i9-13900H,64GB,DDR5,RTX 3070,512GB,1440p,2220,Lenovo
AMD Ryzen 3 5300U,32GB,DDR4,GTX 1660Ti,1TB,1080p,930,Lenovo
AMD Ryzen 3 5300U,16GB,DDR4,GTX 1660Ti,512GB,720p,600,Dell
AMD Ryzen 5 5500U,32GB,DDR4,RTX 3060,256GB,1080p,1060,Gigabyte
AMD Ryzen 5 5500U,16GB,DDR3,GTX 1650,256GB,1080p,610,Lenovo
Intel Core i3-1115G4,4GB,DDR4,Integrated,128GB,1080p,400,Acer
AMD Ryzen 5 5600H,8GB,DDR3,Integrated,512GB,1080p,450,HP
AMD Ryzen 3 5300U,32GB,DDR4,RTX 4050,512GB,1080p,1090,Lenovo
AMD Ryzen 7 5800H,16GB,DDR4,GTX 1660Ti,256GB,1440p,1170,Gigabyte
Intel Core i7-12700H,64GB,DDR4,RTX 3060,256GB,1440p,1980,MSI
Intel Core i5-10300H,16GB,DDR4,RTX 3060,512GB,720p,830,ASUS
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 4090,2TB,4K,3260,ASUS
Intel Core i7-13620H,32GB,DDR4,RTX 2070,512GB,1080p,1160,ASUS
AMD Ryzen 7 7730U,64GB,DDR5,RTX 4060,512GB,1440p,2010,ASUS
Intel Core i5-10300H,32GB,DDR4,RTX 2070,512GB,1080p,1130,ASUS
AMD Ryzen 3 3250U,8GB,DDR4,Integrated,256GB,1080p,500,HP
AMD Ryzen 7 5800H,16GB,DDR5,RTX 4050,512GB,1080p,1310,Gigabyte
Intel Core i5-12500H,8GB,DDR5,RTX 3050,512GB,1440p,980,Lenovo
AMD Ryzen 9 5900HX,64GB,DDR4,RTX 4070,1TB,1440p,2300,MSI
Intel Core i9-12900H,32GB,DDR4,RTX 2060,1TB,1440p,1490,Lenovo
Intel Core i9-11900H,16GB,DDR4,RTX 3080,1TB,4K,2290,Alienware
Intel Core i9-13900H,64GB,DDR5,RTX 2060,512GB,1440p,2510,MSI
AMD Ryzen 3 5300U,4GB,DDR4,GTX 1660,256GB,1080p,610,Lenovo
Intel Core i5-11400H,16GB,DDR4,Integrated,512GB,1080p,590,Acer
Intel Core i7-11800H,8GB,DDR4,GTX 1650,512GB,1080p,750,Lenovo
Intel Core i7-11800H,32GB,DDR4,RTX 3050,512GB,1440p,1260,Lenovo
Intel Core i3-1005G1,8GB,DDR4,RTX 4050,512GB,1080p,790,ASUS
Intel Core i7-13620H,32GB,DDR5,RTX 2060,512GB,1080p,1490,ASUS
AMD Ryzen 5 5500U,16GB,DDR4,GTX 1660Ti,512GB,1080p,810,HP
AMD Ryzen 3 5300U,16GB,DDR3,RTX 2070,512GB,1080p,750,ASUS
Intel Core i9-11900H,16GB,DDR4,RTX 4090,512GB,1440p,2160,MSI
Intel Core i5-12500H,8GB,DDR4,RTX 3050,256GB,1440p,940,Dell
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1650,512GB,720p,540,Dell
AMD Ryzen 7 7730U,16GB,DDR5,RTX 3070,256GB,1080p,1170,Dell
AMD Ryzen 5 5500U,16GB,DDR4,RTX 2070,512GB,720p,720,Dell
AMD Ryzen 5 5500U,16GB,DDR4,GTX 1660Ti,1TB,720p,670,Acer
Intel Core i3-1005G1,16GB,DDR4,RTX 3050,256GB,1080p,780,Lenovo
Intel Core i5-12500H,16GB,DDR5,RTX 3050Ti,512GB,1080p,1030,Lenovo
Intel Core i5-12500H,8GB,DDR5,RTX 2060,256GB,1080p,750,Acer
AMD Ryzen 5 5500U,8GB,DDR3,RTX 2070,512GB,1080p,750,Lenovo
Intel Core i5-11400H,8GB,DDR4,GTX 1650,256GB,1080p,610,HP
Intel Core i3-1005G1,4GB,DDR4,GTX 1650,256GB,720p,460,Acer
Intel Core i7-12700H,32GB,DDR4,RTX 3070,512GB,1080p,1150,Dell
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 4070,2TB,1440p,2340,MSI
AMD Ryzen 3 5300U,16GB,DDR4,RTX 4050,1TB,720p,830,MSI
Intel Core i3-1115G4,16GB,DDR4,GTX 1660,256GB,1080p,680,Acer
AMD Ryzen 5 5600H,32GB,DDR4,RTX 3060,256GB,1080p,1010,Lenovo
Intel Core i9-12900H,32GB,DDR5,RTX 4070,1TB,1440p,2550,MSI
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 3050Ti,1TB,1080p,1450,Gigabyte
Intel Core i7-12700H,32GB,DDR4,RTX 2070,512GB,1080p,1210,ASUS
AMD Ryzen 3 5300U,16GB,DDR4,RTX 3060,512GB,1080p,830,Dell
Intel Core i7-11800H,8GB,DDR3,GTX 1050Ti,256GB,1080p,710,ASUS
Intel Core i7-12700H,64GB,DDR4,GTX 1050Ti,512GB,1080p,1270,Lenovo
AMD Ryzen 7 7730U,64GB,DDR5,RTX 4060,512GB,1080p,1530,Dell
AMD Ryzen 9 7940HS,32GB,DDR4,RTX 4080,512GB,1080p,1780,MSI
Intel Core i7-12700H,64GB,DDR5,RTX 2070,1TB,1080p,1840,Gigabyte
Intel Core i9-13900H,32GB,DDR5,RTX 4080,1TB,4K,3140,Razer
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 2070,1TB,1440p,2110,ASUS
Intel Core i3-1115G4,16GB,DDR4,GTX 1660Ti,1TB,1080p,810,Dell
AMD Ryzen 5 5500U,8GB,DDR3,RTX 2060,256GB,1080p,520,Acer
Intel Core i5-12500H,32GB,DDR4,RTX 3050Ti,512GB,1440p,1260,ASUS
Intel Core i9-13900H,64GB,DDR4,RTX 3060,2TB,1080p,1760,Gigabyte
AMD Ryzen 5 5600H,8GB,DDR4,GTX 1660Ti,256GB,1440p,710,Acer
AMD Ryzen 5 5500U,32GB,DDR4,RTX 4050,512GB,1080p,1140,Gigabyte
Intel Core i7-13620H,32GB,DDR5,RTX 4050,512GB,1080p,1330,ASUS
Intel Core i7-13620H,16GB,DDR5,RTX 3070,1TB,1080p,1480,Gigabyte
Intel Core i3-1005G1,8GB,DDR3,RTX 2060,512GB,1080p,520,Acer
AMD Ryzen 3 3250U,16GB,DDR4,RTX 2060,256GB,1080p,800,Dell
Intel Core i9-13900H,16GB,DDR5,RTX 4060,512GB,1440p,1850,Gigabyte
Intel Core i7-13620H,16GB,DDR4,RTX 4050,512GB,1080p,1120,MSI
Intel Core i9-11900H,16GB,DDR4,RTX 4060,2TB,1080p,1510,MSI
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1660,256GB,1080p,640,HP
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 3050Ti,1TB,1080p,1230,Lenovo
AMD Ryzen 7 5800H,32GB,DDR4,GTX 1660,512GB,1080p,1020,ASUS
AMD Ryzen 7 5800H,16GB,DDR4,RTX 2060,1TB,1080p,1050,MSI
AMD Ryzen 7 7730U,32GB,DDR4,GTX 1050Ti,512GB,1440p,1320,MSI
Intel Core i9-11900H,16GB,DDR4,RTX 3070,512GB,4K,1610,Dell
AMD Ryzen 9 7940HS,32GB,DDR4,RTX 3060,1TB,1440p,1710,ASUS
Intel Core i5-10300H,16GB,DDR4,GTX 1660,256GB,720p,620,HP
Intel Core i9-12900H,64GB,DDR5,RTX 2070,1TB,4K,2450,Gigabyte
Intel Core i7-12700H,32GB,DDR4,RTX 3080,1TB,4K,2330,MSI
Intel Core i9-12900H,16GB,DDR5,RTX 3080,512GB,1080p,1860,MSI
AMD Ryzen 7 7730U,16GB,DDR5,RTX 3050,256GB,1440p,1240,ASUS
Intel Core i3-1005G1,16GB,DDR4,RTX 4050,1TB,720p,910,ASUS
AMD Ryzen 5 5500U,16GB,DDR4,RTX 2060,256GB,1080p,830,Dell
Intel Core i7-11800H,16GB,DDR3,RTX 3070,512GB,1080p,870,Lenovo
Intel Core i7-13620H,64GB,DDR5,RTX 3070,512GB,1080p,1900,ASUS
Intel Core i3-1115G4,32GB,DDR4,RTX 2060,512GB,1080p,900,HP
AMD Ryzen 3 3250U,8GB,DDR3,RTX 2060,512GB,1080p,530,HP
AMD Ryzen 9 5900HX,64GB,DDR4,RTX 3060,1TB,1440p,2130,MSI
AMD Ryzen 9 7940HS,64GB,DDR4,RTX 3050,2TB,1440p,1940,ASUS
Intel Core i7-13620H,32GB,DDR5,RTX 4050,512GB,1440p,1840,Gigabyte
Intel Core i7-13620H,32GB,DDR4,RTX 3060,512GB,1080p,1230,Lenovo
Intel Core i9-12900H,32GB,DDR4,RTX 3080,1TB,1440p,2390,Alienware
AMD Ryzen 7 5800H,16GB,DDR4,RTX 2060,512GB,1080p,1060,MSI
Intel Core i7-13620H,32GB,DDR5,RTX 3070,512GB,1080p,1480,Dell
Intel Core i5-10300H,16GB,DDR4,GTX 1050Ti,256GB,1080p,660,Dell
Intel Core i9-13900H,32GB,DDR5,RTX 4090,1TB,1440p,3130,Alienware
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 3080,1TB,4K,2730,MSI
Intel Core i9-11900H,16GB,DDR4,RTX 3050,1TB,1080p,1120,ASUS
Intel Core i9-13900H,32GB,DDR5,RTX 3070,2TB,1080p,1750,Dell
Intel Core i7-12700H,16GB,DDR5,RTX 3080,512GB,4K,1780,Dell
Intel Core i9-13900H,64GB,DDR5,RTX 2070,512GB,1440p,2410,Gigabyte
Intel Core i7-12700H,32GB,DDR5,GTX 1660,512GB,1080p,1260,MSI
AMD Ryzen 3 3250U,4GB,DDR4,Integrated,256GB,720p,400,Dell
AMD Ryzen 5 5500U,4GB,DDR4,GTX 1650,256GB,1080p,680,Dell
Intel Core i7-11800H,8GB,DDR4,GTX 1660Ti,1TB,1080p,780,Dell
Intel Core i5-10300H,16GB,DDR4,GTX 1050Ti,128GB,720p,530,HP
AMD Ryzen 5 5500U,16GB,DDR4,GTX 1660Ti,512GB,1080p,730,HP
Intel Core i7-12700H,32GB,DDR5,GTX 1050Ti,256GB,1080p,1090,Lenovo
Intel Core i7-13620H,16GB,DDR5,RTX 3070,512GB,1080p,1350,Dell
AMD Ryzen 7 5800H,16GB,DDR4,GTX 1660Ti,256GB,1080p,1000,Gigabyte
AMD Ryzen 7 5800H,32GB,DDR4,GTX 1660,1TB,1080p,1060,MSI
Intel Core i3-1115G4,16GB,DDR4,RTX 3050Ti,1TB,1080p,980,MSI
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 3060,1TB,4K,2330,Gigabyte
Intel Core i5-12500H,32GB,DDR5,RTX 4050,1TB,1080p,1350,Dell
Intel Core i7-11800H,64GB,DDR4,RTX 3080,512GB,1440p,1990,Gigabyte
AMD Ryzen 3 3250U,16GB,DDR4,RTX 2060,256GB,1080p,640,Acer
Intel Core i9-11900H,16GB,DDR4,RTX 3060,1TB,1440p,1340,Dell
AMD Ryzen 5 5500U,16GB,DDR4,RTX 3060,1TB,1080p,1000,MSI
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 4070,512GB,1440p,1710,ASUS
Intel Core i3-1005G1,16GB,DDR3,RTX 2060,256GB,1080p,650,Dell
AMD Ryzen 5 5600H,16GB,DDR4,Integrated,256GB,1440p,610,Acer
Intel Core i9-13900H,16GB,DDR4,RTX 3050,2TB,4K,1740,Lenovo
Intel Core i5-10300H,32GB,DDR3,RTX 3050,256GB,1080p,730,Acer
Intel Core i3-1005G1,8GB,DDR4,GTX 1650,512GB,1080p,590,Acer
AMD Ryzen 5 5600H,32GB,DDR3,RTX 3050Ti,512GB,1080p,1040,MSI
AMD Ryzen 7 7730U,32GB,DDR5,RTX 2070,256GB,1080p,1300,ASUS
AMD Ryzen 5 5500U,32GB,DDR3,RTX 3050Ti,1TB,1080p,1020,ASUS
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 4090,1TB,1080p,2540,MSI
Intel Core i7-13620H,16GB,DDR5,RTX 4070,512GB,1080p,1530,ASUS
AMD Ryzen 7 5800H,32GB,DDR4,RTX 3080,2TB,1080p,1470,Lenovo
AMD Ryzen 3 3250U,8GB,DDR4,RTX 3050,512GB,720p,580,Acer
Intel Core i9-13900H,16GB,DDR5,RTX 3080,1TB,1440p,2170,MSI
Intel Core i5-11400H,8GB,DDR4,Integrated,512GB,720p,400,Acer
Intel Core i5-11400H,8GB,DDR4,GTX 1660Ti,256GB,1080p,720,HP
AMD Ryzen 5 5600H,16GB,DDR4,RTX 4050,1TB,1440p,1170,ASUS
AMD Ryzen 7 7730U,64GB,DDR5,GTX 1650,512GB,1080p,1690,MSI
AMD Ryzen 5 5600H,16GB,DDR4,RTX 2070,1TB,1080p,1060,ASUS
Intel Core i5-12500H,32GB,DDR4,GTX 1660,256GB,1080p,890,HP
Intel Core i5-12500H,16GB,DDR5,Integrated,256GB,1080p,600,Acer
AMD Ryzen 5 5500U,16GB,DDR3,RTX 4050,1TB,1080p,830,Dell
Intel Core i3-1115G4,16GB,DDR4,RTX 3050,512GB,1080p,680,HP
AMD Ryzen 7 5800H,16GB,DDR5,RTX 3080,2TB,1080p,1610,MSI
Intel Core i9-12900H,32GB,DDR5,RTX 2070,512GB,1440p,1690,Dell
AMD Ryzen 3 3250U,8GB,DDR4,RTX 2060,256GB,1080p,710,HP
AMD Ryzen 3 5300U,8GB,DDR3,Integrated,128GB,1080p,400,HP
AMD Ryzen 5 5500U,16GB,DDR3,GTX 1650,256GB,1080p,630,Dell
AMD Ryzen 3 5300U,32GB,DDR4,GTX 1660Ti,1TB,1080p,840,Dell
AMD Ryzen 5 5500U,8GB,DDR4,RTX 2060,256GB,1080p,670,HP
Intel Core i9-13900H,16GB,DDR5,RTX 3050Ti,2TB,1080p,1510,Lenovo
Intel Core i9-12900H,64GB,DDR4,RTX 3080,2TB,1440p,2680,Alienware
Intel Core i7-11800H,16GB,DDR4,RTX 2070,256GB,1080p,990,Dell
Intel Core i7-13620H,64GB,DDR5,RTX 2060,256GB,1080p,1600,Gigabyte
Intel Core i3-1115G4,8GB,DDR4,GTX 1050Ti,256GB,1080p,550,Acer
AMD Ryzen 3 3250U,16GB,DDR4,RTX 3050Ti,256GB,1080p,940,MSI
AMD Ryzen 7 7730U,16GB,DDR5,RTX 3050Ti,512GB,1080p,1340,MSI
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 2070,2TB,1440p,1920,Lenovo
Intel Core i3-1115G4,16GB,DDR4,RTX 2060,256GB,720p,710,Dell
Intel Core i7-12700H,16GB,DDR5,GTX 1660Ti,1TB,1440p,1480,ASUS
AMD Ryzen 3 3250U,8GB,DDR4,RTX 3050Ti,1TB,1080p,800,MSI
AMD Ryzen 7 5800H,64GB,DDR4,RTX 3050,1TB,1080p,1230,Lenovo
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 2070,1TB,4K,1670,Gigabyte
Intel Core i9-12900H,32GB,DDR4,RTX 4070,1TB,4K,2300,ASUS
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 4070,1TB,4K,1910,ASUS
AMD Ryzen 3 5300U,16GB,DDR3,GTX 1050Ti,128GB,1080p,480,HP
Intel Core i9-13900H,16GB,DDR5,RTX 4080,1TB,1440p,2840,Alienware
Intel Core i9-13900H,64GB,DDR4,RTX 3080,2TB,1440p,2410,ASUS
Intel Core i7-13620H,32GB,DDR5,RTX 3080,1TB,1080p,1670,ASUS
Intel Core i9-13900H,16GB,DDR5,RTX 3060,2TB,4K,2290,ASUS
Intel Core i3-1005G1,16GB,DDR4,RTX 2060,512GB,1080p,770,Lenovo
AMD Ryzen 5 5500U,8GB,DDR4,RTX 3060,1TB,1080p,1030,MSI
AMD Ryzen 7 5800H,64GB,DDR5,RTX 2060,1TB,1080p,1520,Lenovo
Intel Core i7-11800H,16GB,DDR4,RTX 3080,1TB,4K,1730,Gigabyte
Intel Core i7-13620H,32GB,DDR5,RTX 3050Ti,256GB,1080p,1320,ASUS
Intel Core i9-11900H,64GB,DDR4,RTX 2070,1TB,1440p,1720,Dell
AMD Ryzen 5 5600H,8GB,DDR4,RTX 3050Ti,256GB,1080p,850,ASUS
Intel Core i5-10300H,16GB,DDR4,RTX 3050Ti,512GB,1080p,800,Lenovo
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1660Ti,256GB,1440p,1040,Dell
Intel Core i7-11800H,32GB,DDR4,RTX 3050Ti,512GB,1080p,1110,Dell
AMD Ryzen 3 5300U,8GB,DDR4,RTX 4050,1TB,1080p,950,ASUS
Intel Core i5-10300H,8GB,DDR4,RTX 4050,256GB,720p,710,ASUS
Intel Core i5-11400H,32GB,DDR4,RTX 3050,256GB,1080p,990,Lenovo
Intel Core i9-13900H,64GB,DDR5,RTX 4050,2TB,1440p,2350,ASUS
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 4050,512GB,1440p,1900,Dell
Intel Core i7-12700H,16GB,DDR4,RTX 3070,512GB,1080p,1180,Lenovo
AMD Ryzen 5 5500U,8GB,DDR4,RTX 4050,256GB,1080p,860,Gigabyte
AMD Ryzen 3 5300U,16GB,DDR4,RTX 2070,256GB,1080p,930,ASUS
AMD Ryzen 5 5600H,8GB,DDR4,GTX 1650,512GB,1080p,600,Acer
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 2060,1TB,1440p,1600,ASUS
Intel Core i3-1115G4,8GB,DDR4,RTX 2070,512GB,1080p,800,ASUS
Intel Core i5-11400H,16GB,DDR4,GTX 1660,256GB,1080p,720,Lenovo
Intel Core i7-11800H,8GB,DDR4,RTX 3050,1TB,1080p,870,ASUS
Intel Core i7-11800H,16GB,DDR4,GTX 1660Ti,512GB,1080p,860,Dell
AMD Ryzen 5 5600H,32GB,DDR4,RTX 2070,1TB,1080p,1080,Dell
Intel Core i3-1115G4,16GB,DDR4,RTX 2060,512GB,1080p,740,Dell
Intel Core i9-11900H,32GB,DDR4,RTX 4050,2TB,4K,2000,MSI
Intel Core i7-12700H,32GB,DDR4,RTX 4050,512GB,1080p,1030,Lenovo
AMD Ryzen 7 5800H,32GB,DDR4,RTX 2060,512GB,1080p,1210,MSI
AMD Ryzen 5 5600H,32GB,DDR4,GTX 1650,512GB,1080p,830,Acer
Intel Core i7-13620H,16GB,DDR5,GTX 1660,256GB,1080p,960,Lenovo
Intel Core i9-11900H,32GB,DDR4,RTX 4090,512GB,1080p,1990,MSI
Intel Core i7-11800H,32GB,DDR3,RTX 4070,2TB,1440p,1360,Dell
Intel Core i5-12500H,8GB,DDR4,RTX 4050,256GB,1080p,960,MSI
AMD Ryzen 7 5800H,32GB,DDR4,GTX 1660Ti,512GB,1080p,1070,Lenovo
AMD Ryzen 7 7730U,16GB,DDR5,RTX 2070,1TB,1080p,1440,MSI
Intel Core i9-11900H,16GB,DDR4,RTX 2060,1TB,1080p,990,Dell
AMD Ryzen 7 5800H,16GB,DDR5,RTX 3060,512GB,1080p,1310,MSI
Intel Core i5-12500H,32GB,DDR4,GTX 1050Ti,512GB,1080p,940,Lenovo
Intel Core i3-1115G4,8GB,DDR3,RTX 3050,1TB,720p,520,Lenovo
Intel Core i5-12500H,8GB,DDR4,Integrated,512GB,1440p,660,HP
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 2070,1TB,1080p,1080,Lenovo
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 4070,512GB,4K,2810,MSI
Intel Core i5-12500H,32GB,DDR4,GTX 1660,512GB,1080p,950,Lenovo
AMD Ryzen 3 3250U,8GB,DDR3,RTX 3050Ti,256GB,1080p,600,Dell
Intel Core i5-12500H,16GB,DDR5,GTX 1660Ti,256GB,1080p,870,Dell
AMD Ryzen 7 7730U,32GB,DDR5,GTX 1050Ti,256GB,1080p,990,Lenovo
AMD Ryzen 3 3250U,8GB,DDR4,RTX 2070,256GB,1080p,780,Dell
AMD Ryzen 3 3250U,16GB,DDR4,GTX 1650,512GB,1080p,630,HP
Intel Core i9-13900H,16GB,DDR5,RTX 4090,1TB,4K,3170,MSI
Intel Core i9-12900H,32GB,DDR4,RTX 3080,512GB,1440p,1710,ASUS
Intel Core i7-13620H,16GB,DDR4,GTX 1660Ti,512GB,1080p,860,Dell
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 4060,512GB,1080p,1330,ASUS
AMD Ryzen 5 5600H,32GB,DDR4,GTX 1650,512GB,1080p,840,HP
Intel Core i9-12900H,64GB,DDR4,RTX 4060,1TB,4K,2270,Gigabyte
AMD Ryzen 7 5800H,16GB,DDR4,GTX 1050Ti,512GB,1080p,950,MSI
Intel Core i3-1005G1,8GB,DDR4,RTX 2060,512GB,1080p,720,Dell
AMD Ryzen 7 7730U,16GB,DDR5,RTX 4050,1TB,1440p,1520,Gigabyte
Intel Core i7-13620H,16GB,DDR5,GTX 1660Ti,256GB,1440p,1450,MSI
AMD Ryzen 5 5500U,32GB,DDR4,RTX 2070,256GB,1080p,980,Gigabyte
Intel Core i3-1005G1,16GB,DDR3,GTX 1650,128GB,1080p,590,Dell
Intel Core i9-11900H,64GB,DDR4,RTX 2070,1TB,1440p,2200,MSI
AMD Ryzen 9 5900HX,64GB,DDR4,RTX 4070,512GB,4K,2670,MSI
Intel Core i7-11800H,8GB,DDR4,GTX 1650,1TB,1080p,800,Gigabyte
AMD Ryzen 5 5600H,8GB,DDR4,Integrated,512GB,1440p,600,Acer
AMD Ryzen 3 3250U,8GB,DDR4,RTX 3060,512GB,1080p,860,Gigabyte
Intel Core i9-11900H,16GB,DDR3,RTX 4050,1TB,4K,1620,MSI
Intel Core i9-12900H,16GB,DDR4,RTX 4090,1TB,4K,2450,ASUS
Intel Core i5-10300H,8GB,DDR4,GTX 1650,128GB,1080p,620,Dell
AMD Ryzen 7 5800H,32GB,DDR4,GTX 1050Ti,512GB,1080p,1060,MSI
AMD Ryzen 3 5300U,8GB,DDR4,GTX 1660,256GB,1080p,530,Acer
Intel Core i7-13620H,16GB,DDR5,RTX 2070,512GB,1080p,1280,Gigabyte
Intel Core i5-11400H,8GB,DDR4,RTX 3050Ti,512GB,720p,720,ASUS
AMD Ryzen 7 7730U,16GB,DDR5,RTX 4050,512GB,1080p,1130,Dell
Intel Core i7-11800H,32GB,DDR4,RTX 4070,512GB,1440p,1730,ASUS
Intel Core i9-11900H,32GB,DDR4,RTX 2070,2TB,1080p,1300,Gigabyte
Intel Core i9-13900H,16GB,DDR5,RTX 4070,512GB,1440p,2200,MSI
AMD Ryzen 3 5300U,32GB,DDR4,RTX 3060,1TB,1080p,1080,ASUS
AMD Ryzen 7 7730U,32GB,DDR4,RTX 2070,512GB,1080p,1240,MSI
AMD Ryzen 7 5800H,16GB,DDR5,RTX 3080,2TB,1440p,1850,ASUS
Intel Core i7-13620H,16GB,DDR5,RTX 4060,512GB,1080p,1550,MSI
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 3050Ti,1TB,1440p,1560,Gigabyte
AMD Ryzen 3 5300U,16GB,DDR4,RTX 3060,512GB,1080p,930,Lenovo
Intel Core i9-12900H,32GB,DDR5,RTX 2070,1TB,1440p,1980,ASUS
Intel Core i5-11400H,8GB,DDR4,GTX 1650,512GB,1080p,560,Acer
Intel Core i7-12700H,64GB,DDR4,RTX 3050,512GB,1080p,1290,Lenovo
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 3080,1TB,1440p,2670,Alienware
AMD Ryzen 7 7730U,16GB,DDR4,RTX 3050,512GB,1080p,950,MSI
Intel Core i3-1115G4,8GB,DDR4,RTX 3060,512GB,1080p,770,Lenovo
Intel Core i5-12500H,32GB,DDR5,RTX 3060,512GB,1080p,1200,Lenovo
Intel Core i7-13620H,16GB,DDR5,RTX 4070,1TB,4K,2020,Dell
Intel Core i3-1115G4,16GB,DDR4,RTX 2070,512GB,720p,720,Lenovo
AMD Ryzen 5 5500U,32GB,DDR4,RTX 2070,512GB,720p,970,Gigabyte
Intel Core i5-11400H,16GB,DDR4,RTX 4050,1TB,1080p,1010,ASUS
Intel Core i7-12700H,16GB,DDR5,RTX 3050Ti,256GB,1080p,1000,Dell
Intel Core i5-12500H,8GB,DDR4,RTX 3050,256GB,1080p,730,Acer
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 3070,512GB,1440p,2430,ASUS
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 3080,512GB,1440p,2410,Alienware
AMD Ryzen 5 5500U,16GB,DDR4,GTX 1050Ti,256GB,1080p,700,Lenovo
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 4090,1TB,1080p,3070,Alienware
AMD Ryzen 9 5900HX,64GB,DDR4,RTX 2070,1TB,1440p,1830,Gigabyte
AMD Ryzen 3 3250U,8GB,DDR4,RTX 4050,256GB,1080p,860,ASUS
AMD Ryzen 3 5300U,8GB,DDR3,GTX 1650,128GB,1080p,440,HP
Intel Core i7-12700H,32GB,DDR4,GTX 1660,256GB,1080p,1010,ASUS
AMD Ryzen 3 5300U,16GB,DDR3,RTX 3050Ti,512GB,1080p,750,Dell
AMD Ryzen 3 3250U,16GB,DDR4,RTX 3060,256GB,1080p,980,MSI
Intel Core i9-11900H,32GB,DDR4,RTX 4050,512GB,1080p,1370,Gigabyte
Intel Core i3-1005G1,16GB,DDR4,RTX 3050Ti,256GB,720p,750,MSI
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 2060,512GB,1440p,1810,ASUS
AMD Ryzen 7 7730U,32GB,DDR5,RTX 3050Ti,512GB,1440p,1850,MSI
Intel Core i7-11800H,16GB,DDR4,RTX 3060,256GB,1080p,1080,MSI
AMD Ryzen 7 5800H,32GB,DDR4,RTX 4060,512GB,1440p,1550,MSI
Intel Core i7-13620H,64GB,DDR5,RTX 2070,512GB,1440p,2430,MSI
Intel Core i3-1115G4,4GB,DDR4,GTX 1650,256GB,720p,420,Acer
Intel Core i9-12900H,32GB,DDR5,RTX 3070,1TB,1080p,1890,MSI
Intel Core i9-11900H,16GB,DDR4,RTX 4070,1TB,1080p,1440,MSI
Intel Core i5-10300H,32GB,DDR3,RTX 2060,1TB,1080p,790,Lenovo
Intel Core i3-1115G4,8GB,DDR4,RTX 2070,256GB,1080p,760,Lenovo
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 3070,1TB,4K,2050,Gigabyte
Intel Core i3-1005G1,16GB,DDR4,GTX 1050Ti,128GB,1080p,590,Acer
